iter	Passed	Remaining
870	88723	64072
871	88823	63969
872	88925	63867
873	89025	63764
874	89127	63662
875	89224	63557
876	89331	63459
877	89433	63357
878	89537	63257
879	89643	63158
880	89745	63056
881	89852	62957
882	89949	62852
883	90053	62751
884	90155	62650
885	90260	62550
886	90361	62448
887	90467	62349
888	90572	62249
889	90677	62149
890	90780	62048
891	90881	61946
892	90981	61843
893	91086	61743
894	91194	61645
895	91302	61547
896	91415	61453
897	91519	61352
898	91619	61249
899	91723	61148
900	91821	61044
901	91924	60943
902	92021	60838
903	92119	60733
904	92224	60633
905	92321	60528
906	92420	60424
907	92525	60325
908	92625	60222
909	92725	60118
910	92827	60016
911	92925	59912
912	93031	59813
913	93133	59711
914	93241	59613
915	93351	59516
916	93460	59419
917	93569	59321
918	93684	59228
919	93798	59134
920	93897	59030
921	94012	58936
922	94135	58847
923	94270	58766
924	94370	58662
925	94468	58558
926	94566	58453
927	94669	58352
928	94772	58250
929	94870	58146
930	94972	58044
931	95069	57939
932	95171	57837
933	95271	57734
934	95377	57634
935	95482	57534
936	95583	57431
937	95689	57331
938	95793	57231
939	95897	57130
940	95994	57025
941	96097	56923
942	96195	56819
943	96295	56716
944	96399	56615
945	96498	56511
946	96599	56409
947	96703	56308
948	96811	56210
949	96922	56113
950	97051	56026
951	97164	55931
952	97270	55831
953	97389	55738
954	97495	55638
955	97611	55544
956	97715	55443
957	97828	55347
958	97936	55249
959	98036	55145
960	98138	55043
961	98243	54942
962	98347	54841
963	98448	54738
964	98550	54636
965	98648	54532
966	98752	54431
967	98851	54327
968	98955	54226
969	99067	54129
970	99175	54030
971	99286	53933
972	99397	53836
973	99504	53736
974	99603	53632
975	99706	53530
976	99815	53432
977	99920	53331
978	100024	53230
979	100141	53136
980	100244	53034
981	100347	52932
982	100446	52829
983	100550	52727
984	100653	52626
985	100759	52525
986	100860	52422
987	100966	52322
988	101064	52218
989	101168	52116
990	101266	52012
991	101367	51909
992	101465	51805
993	101575	51707
994	101680	51606
995	101783	51504
996	101888	51404
997	101989	51301
998	102091	51198
999	102189	51094
1000	102291	50992
1001	102387	50887
1002	102486	50783
1003	102593	50683
1004	102694	50580
1005	102797	50479
1006	102901	50377
1007	103004	50275
1008	103105	50173
1009	103206	50070
1010	103308	49968
1011	103405	49863
1012	103510	49762
1013	103607	49658
1014	103711	49556
1015	103817	49456
1016	103914	49351
1017	104019	49251
1018	104121	49148
1019	104223	49046
1020	104321	48942
1021	104423	48839
1022	104521	48735
1023	104618	48631
1024	104719	48528
1025	104816	48424
1026	104914	48320
1027	105018	48218
1028	105119	48115
1029	105216	48011
1030	105323	47911
1031	105424	47808
1032	105522	47704
1033	105625	47602
1034	105722	47498
1035	105820	47394
1036	105923	47292
1037	106021	47188
1038	106120	47085
1039	106223	46983
1040	106320	46879
1041	106418	46774
1042	106521	46673
1043	106620	46569
1044	106717	46465
1045	106822	46364
1046	106923	46261
1047	107023	46158
1048	107125	46056
1049	107221	45952
1050	107320	45848
1051	107430	45749
1052	107527	45645
1053	107626	45542
1054	107730	45440
1055	107829	45337
1056	107924	45232
1057	108027	45130
1058	108124	45026
1059	108222	44922
1060	108324	44820
1061	108422	44716
1062	108519	44612
1063	108624	44511
1064	108723	44408
1065	108819	44303
1066	108920	44201
1067	109024	44099
1068	109122	43995
1069	109224	43893
1070	109322	43790
1071	109424	43688
1072	109523	43584
1073	109620	43480
1074	109721	43378
1075	109817	43273
1076	109914	43169
1077	110021	43069
1078	110120	42966
1079	110217	42862
1080	110321	42761
1081	110418	42657
1082	110515	42553
1083	110617	42451
1084	110716	42347
1085	110815	42244
1086	110917	42142
1087	111018	42040
1088	111115	41936
1089	111217	41834
1090	111316	41730
1091	111415	41627
1092	111519	41526
1093	111618	41423
1094	111716	41319
1095	111820	41218
1096	111918	41115
